Rat,Ox,Tiger,Rabbit,Dragon,Snake,Horse,Goat,Monkey,Rooster,Dog,Pig
90,60,40,70,100,70,30,40,100,60,80,80
60,80,40,80,70,90,50,20,40,90,70,70
40,40,50,50,60,30,90,40,20,40,90,70
70,80,50,80,70,70,50,90,40,20,80,90
100,70,60,70,90,80,80,70,100,90,20,80
70,90,30,70,80,80,40,70,40,90,80,40
30,50,90,50,80,40,80,80,50,60,90,60
40,20,40,90,70,70,80,90,50,50,40,90
100,40,20,40,100,40,50,50,90,40,80,70
60,90,40,20,90,90,60,50,40,40,50,50
80,70,90,80,20,80,90,40,80,50,70,70
80,70,70,90,80,40,60,90,70,50,70,80
